,I0T,I0N,I0G,I0A,D0D,D0G,D0A,D0L,D0N,D0I,D0K,D0T,D0V,D0Q,D0S,D0R,D0Y,Y0L,Y0N,Y0D,Y0F,Y0G,Y0A,Y0T,Y0S,V0G,V0D,V0A,V0V,V0T,E0A,E0G,E0L,K0N,K0L,K0I,K0G,K0D,K0A,K0Y,K0V,K0T,K0S,F0D,F0A,F0N,L0Y,L0T,L0S,L0N,L0K,L0D,L0G,L0A,A0D,A0G,A0A,A0L,A0N,A0I,A0K,A0T,A0V,A0Q,A0S,A0Y,Q0T,Q0V,Q0S,V0N,Q0Y,Q0G,V0S,Q0A,Q0L,Q0N,Q0I,V0Y,Q0K,G0S,G0Q,G0V,G0T,G0Y,G0A,G0G,G0D,G0E,G0K,G0N,G0L,N0N,N0L,N0K,N0I,N0G,N0D,N0A,N0Y,N0V,N0T,N0S,N0Q,S0G,S0D,S0E,S0A,S0N,S0L,S0K,S0V,S0T,S0S,S0Y,T0T,T0V,T0Q,T0S,T0Y,T0E,T0D,T0G,T0A,T0L,T0N,T0K
BAF43789.1,1,0,0,0,2,1,0,2,0,0,0,3,0,2,2,2,0,2,2,1,1,0,1,1,1,0,0,1,1,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,3,0,0,1,3,2,0,1,3,0,0,0,0,0,2,1,0,0,0,1,1,1,2,2,0,0,2,1,0,2,0,0,0,3,1,1,0,1,1,0,0,1,2,1,0,0,2,2,2,0,2,1,0,0,0,1,1,1,1,1,0,1,0,0,2,2,1,3,1,2,1,1,1,0,0,1,0
BAF43790.1,0,0,0,1,3,0,1,2,0,1,0,4,0,2,1,1,0,2,3,0,1,1,1,0,0,0,0,3,0,2,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,2,0,0,3,1,1,1,1,2,0,1,2,0,0,0,1,0,2,1,0,1,0,0,1,1,2,1,0,0,3,1,1,2,0,0,1,1,1,1,0,2,0,1,0,1,2,2,0,0,1,2,2,0,2,0,0,1,0,1,1,0,0,2,0,1,1,0,2,0,1,1,1,1,1,1,1,0,0,1,1
ABN29058.1,7,10,12,9,6,6,4,7,14,8,10,6,8,5,7,4,5,6,14,14,8,9,6,5,4,14,11,10,8,9,6,7,6,2,6,9,4,3,5,8,6,8,5,4,6,7,2,6,4,11,9,5,1,12,11,12,4,10,9,9,7,12,4,2,11,5,5,3,6,9,3,7,4,7,6,3,3,10,10,9,14,7,4,7,12,3,3,1,5,6,6,3,9,4,5,14,10,6,13,10,9,7,12,9,7,4,5,4,4,4,11,6,6,8,10,9,2,10,4,4,10,5,11,5,9,7
ABN29059.1,8,8,7,8,6,8,5,6,7,5,6,7,7,3,6,7,3,9,11,6,7,4,3,7,5,12,8,12,8,5,5,4,5,4,5,8,6,5,7,6,11,8,3,5,4,4,6,6,10,10,8,5,2,13,13,10,3,9,8,5,9,9,5,5,13,7,5,6,7,11,4,6,5,6,2,5,4,7,8,7,9,7,4,5,11,3,2,2,4,6,10,9,9,7,8,6,8,10,9,10,9,5,5,8,5,1,10,9,8,7,11,6,6,4,17,7,6,11,3,5,9,5,8,5,10,8
BAF46394.1,9,6,12,6,15,14,10,9,21,7,2,18,14,9,14,6,8,9,9,21,12,8,15,7,7,12,14,15,9,13,7,12,6,2,3,1,2,3,1,4,6,0,2,8,8,3,9,7,8,10,3,9,5,10,15,16,9,7,5,6,2,18,6,12,12,6,7,6,3,9,8,5,7,2,6,4,10,6,7,4,16,7,11,10,9,5,8,7,1,8,12,7,6,4,6,4,11,5,15,6,6,5,7,4,17,11,6,5,9,1,11,5,8,9,19,11,5,9,7,7,21,9,17,8,7,2
ABN44054.1,8,8,5,5,8,4,9,11,13,7,14,7,8,9,6,4,5,3,7,20,10,8,5,6,4,14,4,14,7,6,19,7,4,8,5,9,15,4,14,4,19,12,7,6,7,3,5,7,5,7,6,11,5,11,11,13,16,7,12,7,19,12,5,9,11,5,6,6,5,5,5,15,4,5,8,6,6,5,8,6,21,8,6,5,9,5,4,6,7,8,11,10,6,10,5,7,9,6,12,3,5,2,6,2,2,10,3,10,6,5,4,3,3,8,11,4,2,6,5,8,11,10,15,7,1,11
ABP88725.1,4,14,3,3,5,2,5,5,11,6,2,10,6,3,11,3,7,5,8,10,1,5,5,6,7,11,5,11,7,3,6,5,3,7,3,2,5,1,4,10,5,10,3,4,3,4,7,4,10,17,4,7,5,5,10,2,4,11,15,4,7,6,8,10,6,6,5,6,2,15,4,6,3,7,6,6,9,6,4,8,6,6,10,4,6,8,9,5,3,6,9,18,10,9,12,16,12,12,4,4,9,12,14,4,8,5,11,7,6,3,7,7,7,8,3,5,7,7,3,5,5,9,10,5,11,9
ABP88726.1,8,12,3,5,8,10,7,4,12,10,9,20,9,5,11,7,8,10,12,11,8,5,6,6,9,15,7,9,9,12,4,7,4,10,3,6,13,4,5,9,13,8,7,7,3,5,5,7,10,14,6,8,7,7,14,7,6,9,14,2,4,10,8,10,8,6,4,7,6,17,9,8,6,10,8,10,9,4,4,9,12,6,7,9,8,11,11,7,5,14,13,13,14,10,8,15,23,14,12,13,15,10,12,7,11,7,9,13,6,7,7,7,3,9,19,9,8,7,7,10,10,8,8,5,15,12
BAF62337.1,5,10,3,6,11,6,10,8,8,7,13,7,10,7,4,5,5,8,10,11,9,6,8,4,4,17,8,16,5,5,4,7,5,6,3,3,12,7,4,10,14,8,6,5,7,7,4,4,6,9,7,5,4,10,14,14,13,9,12,3,10,15,6,4,13,6,1,10,5,8,5,7,6,8,6,4,6,5,8,8,15,8,7,7,15,7,10,1,2,7,9,6,4,6,3,10,12,9,7,10,8,8,7,7,9,5,10,3,7,7,7,6,2,6,15,6,7,7,3,10,8,7,11,6,4,8
BAF62338.1,4,8,4,6,10,7,8,7,9,5,15,6,11,8,5,6,6,8,9,11,9,6,8,5,3,17,8,15,5,6,3,6,6,6,4,4,17,7,4,10,15,5,7,5,8,6,4,4,5,9,9,5,5,7,14,12,15,8,12,2,11,14,8,5,12,6,2,8,5,8,5,8,6,7,7,4,6,5,8,8,16,8,7,7,17,7,11,1,2,6,9,6,4,6,4,7,9,9,7,10,8,6,8,7,10,3,11,3,7,8,6,5,3,6,13,3,5,8,3,10,7,6,13,5,3,8
BAF62339.1,5,9,3,7,10,6,9,7,8,6,14,7,10,7,4,6,6,8,9,11,9,6,8,4,4,17,8,14,6,5,5,7,6,6,4,4,14,8,4,10,14,6,7,5,8,7,4,4,5,9,10,5,4,8,14,13,14,9,11,2,10,16,7,3,13,6,1,9,5,9,5,7,5,8,6,4,6,5,8,8,15,8,8,7,16,7,10,1,2,7,9,6,4,6,4,9,11,8,7,10,8,6,7,8,8,5,9,3,7,7,7,6,3,6,15,4,7,7,3,11,7,7,11,6,3,8
ABQ83597.1,7,12,3,5,6,7,6,6,9,4,7,7,9,4,7,9,10,7,10,13,17,7,7,4,9,12,5,4,5,3,2,1,3,12,3,7,2,3,4,6,4,7,1,3,2,3,7,7,4,14,7,6,9,3,7,5,4,9,11,1,6,11,3,5,13,5,1,5,2,19,5,12,5,6,3,5,6,4,4,4,11,5,10,12,13,5,11,1,4,3,9,12,8,4,12,12,10,8,19,2,9,10,7,9,8,2,7,6,3,5,6,2,6,10,6,7,3,4,14,2,7,4,6,16,11,5
BAF76048.1,8,7,14,5,16,15,11,8,20,7,1,18,13,9,14,6,7,9,9,20,12,8,15,7,7,10,14,14,10,13,6,13,6,2,3,1,2,3,1,4,5,0,2,8,7,3,9,8,8,10,3,10,4,9,13,16,10,7,6,6,2,16,5,12,11,6,7,6,3,9,8,5,8,2,6,4,10,6,7,5,16,8,11,10,7,4,8,6,1,9,13,7,6,4,4,4,11,4,17,9,6,4,7,5,17,11,7,5,9,1,11,5,9,9,19,11,5,10,6,7,20,9,17,8,6,2
BAF76049.1,8,7,13,5,16,15,11,8,20,7,1,18,13,9,14,6,7,9,9,20,12,8,15,7,7,11,14,14,10,13,6,13,6,2,3,1,2,3,1,4,5,0,2,8,7,3,9,8,8,10,3,10,4,9,13,16,10,7,6,6,2,16,5,12,11,6,7,6,3,9,8,5,8,2,6,4,10,6,7,5,16,8,11,10,7,4,8,6,1,9,13,7,6,4,4,4,11,4,17,9,6,4,7,5,17,11,7,5,9,1,11,5,9,9,19,11,5,10,6,7,20,9,17,8,6,2
BAF81105.1,4,8,4,6,10,7,8,7,8,5,15,6,11,8,6,6,6,8,9,11,9,6,8,5,3,17,8,15,5,6,3,6,6,6,4,4,17,7,4,10,15,5,7,5,8,6,4,3,5,9,9,5,5,8,14,12,15,8,12,2,11,14,8,5,13,6,2,8,5,8,5,8,6,7,7,4,6,5,8,8,16,8,7,7,17,7,11,1,2,6,9,6,4,6,4,6,9,9,7,10,8,6,8,8,10,3,11,3,7,8,6,5,3,6,13,3,5,7,3,10,7,6,13,5,3,8
BAF96719.1,5,9,9,5,7,12,4,11,8,14,9,14,6,10,11,5,6,7,9,13,8,5,7,9,2,7,11,11,5,4,2,3,4,2,4,2,10,4,7,8,4,9,4,9,6,9,5,11,6,13,9,9,6,5,12,8,6,6,13,4,7,12,2,7,6,5,7,7,4,15,6,9,6,7,6,5,13,10,10,2,15,8,10,4,11,6,4,4,6,3,12,14,9,5,3,7,11,9,8,9,10,8,11,8,7,2,6,8,4,4,4,15,1,8,12,13,14,12,8,0,17,7,7,4,11,4
BAG07220.1,5,10,3,6,11,6,10,8,8,6,14,7,10,7,4,5,5,9,10,11,8,6,8,4,4,17,8,16,5,5,4,7,5,6,4,3,12,7,4,10,14,8,6,5,7,7,4,4,6,9,7,5,5,10,14,14,13,9,12,3,10,15,6,4,13,6,1,10,5,8,5,7,6,8,6,4,6,5,8,8,15,8,7,7,15,7,10,1,2,7,9,6,4,6,3,10,12,9,7,10,8,8,7,7,9,5,10,3,7,7,7,6,2,6,15,6,7,7,3,10,8,7,11,6,4,8
ACA29590.1,0,0,0,1,3,0,1,2,0,1,0,4,0,2,1,1,0,2,3,0,1,1,1,0,0,0,0,3,0,2,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,2,0,0,3,1,1,1,1,2,0,1,2,0,0,0,1,0,2,1,0,1,0,0,1,1,2,1,0,0,3,1,1,2,0,0,1,1,1,1,0,2,0,0,0,1,2,2,0,0,1,2,2,0,2,0,0,1,0,1,1,0,0,2,0,1,1,0,2,0,1,1,1,1,1,1,1,0,0,1,1
ACA29592.1,0,0,0,1,3,0,1,2,0,1,0,4,0,2,1,1,0,2,3,0,1,1,1,0,0,0,0,3,0,2,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,2,0,0,3,1,1,1,1,2,0,1,2,0,0,0,1,0,2,1,0,1,0,0,1,1,2,2,0,0,3,1,1,2,0,0,1,1,1,1,0,2,0,1,0,1,2,2,0,0,1,2,2,0,2,0,0,1,0,1,1,0,0,2,0,1,1,0,2,0,1,1,1,1,1,1,1,0,0,1,1
ACA83038.1,3,11,15,9,13,17,8,10,14,5,14,16,8,15,12,7,6,11,13,26,10,8,6,8,6,19,3,12,6,2,3,10,8,9,10,9,11,7,5,8,11,6,5,9,4,8,8,13,9,12,6,15,8,9,14,20,1,6,6,6,9,18,8,9,1,7,9,10,7,14,5,9,5,6,8,7,9,2,18,6,28,4,11,12,20,10,13,7,8,9,21,6,13,8,4,8,17,8,9,11,9,6,16,11,9,2,2,8,7,7,5,5,2,9,12,4,8,7,11,5,10,11,12,6,16,5
ACA83110.1,4,10,13,9,10,12,9,14,26,7,8,9,11,15,16,10,9,11,17,16,8,11,14,7,8,14,5,12,12,13,1,7,6,7,9,7,12,6,9,12,10,8,11,10,6,11,6,14,7,14,13,7,15,12,15,16,14,8,12,6,5,16,4,8,11,12,17,17,9,11,8,9,9,6,8,10,11,7,15,8,27,7,17,9,9,10,14,6,8,11,11,19,10,12,11,12,24,9,13,10,13,11,18,13,10,8,13,11,9,12,9,9,5,4,15,11,14,14,16,4,17,6,9,4,16,7
ACA83218.1,3,7,7,11,11,17,3,10,4,7,7,5,9,15,10,9,5,5,8,11,6,7,8,5,5,14,9,9,6,7,5,4,3,9,5,5,7,6,8,7,7,10,6,12,2,3,4,8,5,10,7,9,5,10,8,11,7,7,5,5,7,11,8,6,8,5,5,8,3,11,5,10,4,8,8,9,14,4,14,4,18,7,6,4,10,7,8,6,4,6,10,7,3,9,7,4,14,4,4,8,4,7,9,7,7,3,5,8,7,4,7,6,3,8,7,6,7,10,10,5,7,6,6,5,2,8
ACB62096.1,5,2,0,2,2,4,4,2,4,3,1,2,3,1,5,0,4,1,1,2,2,5,6,7,7,4,4,5,5,9,2,2,6,3,3,3,10,4,6,6,5,10,6,2,0,3,3,10,4,5,6,2,5,8,3,7,6,8,4,1,6,6,7,1,5,4,7,1,0,5,2,0,2,7,4,1,1,4,6,1,5,3,9,3,6,6,3,6,4,2,9,3,2,8,2,2,4,2,3,6,5,4,0,4,4,3,2,2,4,3,5,4,2,5,11,9,1,6,4,5,1,9,7,7,6,17
BAG25784.1,8,13,3,6,6,7,7,6,9,4,8,8,10,4,8,9,10,7,12,13,17,7,7,4,10,12,5,5,6,3,2,1,3,12,3,8,3,4,5,7,5,7,1,3,3,3,7,7,4,14,9,6,11,3,8,6,5,10,14,2,7,13,3,6,15,5,1,7,3,21,5,12,8,8,4,7,6,4,4,4,13,6,10,12,14,5,11,1,4,3,9,14,9,7,12,13,10,9,19,3,9,11,11,10,9,2,8,10,3,7,6,3,7,10,6,8,3,4,14,3,8,4,8,16,12,5
ACC65964.1,2,1,1,0,2,3,0,2,3,3,0,1,3,2,2,1,2,1,1,4,1,1,6,2,1,2,0,3,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,3,2,2,2,2,4,0,1,1,0,1,5,3,1,4,2,0,2,4,2,3,0,1,0,1,1,2,1,3,2,3,0,0,1,5,1,3,3,1,2,1,3,2,0,0,0,1,2,0,1,0,0,0,2,3,1,2,0,2,2,0,3,1,1,1,1,1,1,5,1,3,6,2,0,4,1,3,3,1,2,1,1,0
AAU08014.2,6,12,4,5,5,6,6,4,15,7,7,10,8,4,10,3,9,5,8,13,1,5,6,7,8,10,5,13,7,7,6,4,3,10,3,4,5,1,5,10,8,13,2,3,4,4,7,6,9,18,7,5,6,5,13,4,7,12,18,4,7,8,7,11,9,6,6,7,6,19,6,8,2,7,8,6,12,6,4,10,8,3,12,4,7,8,7,7,2,11,10,25,10,7,12,20,15,16,6,6,12,15,15,5,13,5,10,11,5,5,8,11,7,10,7,8,10,8,3,6,8,9,12,7,14,9
ACJ54706.1,0,2,3,2,1,0,2,1,1,2,1,1,1,1,0,1,2,1,1,2,0,1,1,0,1,1,1,1,0,0,1,0,1,2,0,0,1,1,0,1,0,2,0,0,1,0,2,1,1,4,1,1,1,0,1,0,0,2,3,0,1,0,1,3,1,3,0,0,0,1,1,1,1,4,0,1,0,0,1,0,0,1,0,1,2,0,0,0,0,1,2,2,3,1,2,2,5,2,0,1,0,1,3,0,0,0,1,1,2,1,2,0,1,1,0,0,0,2,0,0,0,0,0,0,2,1
ACJ63461.1,1,1,0,1,2,0,2,2,1,1,1,2,2,1,1,0,3,1,1,0,1,0,1,1,0,0,0,5,0,1,0,2,1,0,0,0,0,2,1,2,1,0,0,2,1,0,1,1,0,3,1,1,0,1,4,1,1,2,2,1,2,0,0,4,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,2,0,0,1,4,3,0,0,0,0,1,0,0,0,1,1,1,0,2,2,1,1,0,0,0,1,1,0,2,0,1,2,3,1
ACJ64929.1,0,1,1,1,1,1,1,3,4,2,1,1,3,0,0,2,0,1,3,1,1,1,0,0,0,0,0,2,1,0,1,0,1,1,0,2,2,0,0,1,0,0,1,0,1,0,1,2,1,5,1,2,1,1,6,1,1,0,2,2,1,2,1,1,0,1,1,0,1,2,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,2,3,1,2,1,4,3,2,2,1,0,3,0,0,0,4,2,0,0,1,0,0,1,1,0,0,2,0,0,1,0,0,1,2,3
ACK38203.1,7,6,4,5,11,11,9,11,10,7,6,5,11,14,10,4,11,6,5,17,11,4,4,6,3,9,14,11,3,12,1,4,6,1,6,1,4,5,4,6,5,2,2,10,11,3,2,9,4,8,3,6,9,10,15,15,14,8,3,5,6,18,8,9,12,10,11,8,5,5,4,10,7,8,2,4,8,5,6,2,13,5,10,4,12,8,6,6,1,3,13,2,3,2,2,5,13,9,3,10,6,4,6,4,7,0,14,7,3,6,12,7,13,5,23,6,11,8,7,7,12,10,22,7,6,2
BAH10849.1,4,5,8,5,8,11,8,5,9,6,14,7,6,8,6,2,7,8,8,14,9,10,6,4,4,13,7,11,8,3,7,10,6,4,6,7,16,10,14,9,4,6,6,6,8,4,5,9,8,11,9,6,4,8,13,13,13,9,6,8,9,17,5,7,15,3,4,7,6,7,6,3,8,4,10,0,6,8,9,5,10,9,15,5,7,4,6,5,14,5,10,8,6,8,2,5,11,7,8,6,4,3,2,9,4,9,13,7,6,9,7,8,6,7,11,10,5,12,6,5,8,8,11,5,6,11
BAH10850.1,4,4,5,4,9,10,4,6,10,6,14,7,7,8,7,2,8,9,7,15,6,8,7,5,5,15,8,13,7,4,5,10,7,4,8,7,13,13,11,10,4,6,7,5,8,3,5,9,7,11,11,7,5,8,12,10,16,8,6,6,7,16,6,8,13,3,4,7,3,7,6,4,8,7,7,0,6,5,8,5,10,5,13,6,5,5,5,5,12,5,12,4,5,11,2,4,8,7,7,7,4,3,2,7,5,9,8,6,5,10,7,9,4,8,11,6,6,12,9,5,8,7,14,6,7,10
ACT20911.1,7,5,8,5,7,7,6,12,12,6,4,13,8,9,11,6,11,8,9,12,12,8,7,6,3,12,5,10,5,5,5,3,5,0,5,2,8,3,9,7,1,4,2,7,10,5,5,8,3,11,10,10,7,10,15,10,19,7,9,4,7,28,5,17,4,10,6,8,5,12,6,9,5,10,6,5,10,5,7,3,17,6,17,6,13,7,5,4,3,6,11,5,6,4,3,6,17,10,8,7,9,4,8,4,6,1,7,5,6,1,5,13,0,5,15,8,13,13,10,3,14,19,18,8,11,3
BAH88043.1,7,8,7,10,7,9,5,6,8,5,7,8,7,3,6,9,4,10,11,8,8,5,3,7,6,13,8,13,6,6,4,5,5,5,5,8,6,5,7,7,8,7,3,6,4,6,6,7,9,10,8,5,3,13,13,11,3,9,9,6,9,8,5,5,15,7,5,5,7,10,4,6,5,6,3,6,4,7,9,8,10,7,4,6,11,4,3,3,4,6,11,9,9,7,8,8,9,10,11,11,9,5,6,10,6,1,11,11,6,6,12,7,7,4,17,6,6,11,3,5,9,5,8,5,10,8
BAH88044.1,7,10,12,9,7,6,4,7,14,8,11,6,8,5,7,5,5,7,13,14,7,9,6,5,4,14,11,11,9,9,6,7,6,2,6,9,4,3,5,8,7,7,5,4,6,8,1,6,4,11,8,5,1,11,12,12,5,8,9,8,7,13,3,3,13,5,5,4,6,9,3,7,4,6,6,3,3,9,10,10,14,7,4,7,12,3,3,1,5,6,5,3,9,4,4,14,10,6,13,10,10,7,12,8,8,5,6,4,4,4,11,6,6,8,9,9,2,10,4,5,10,6,11,5,9,7
BAH88139.1,5,14,9,6,7,7,6,9,7,7,11,5,8,9,15,5,6,11,9,10,8,9,10,3,7,7,6,11,8,9,6,2,3,10,4,9,8,3,12,8,6,8,8,5,4,6,8,6,9,12,7,3,6,9,14,9,6,6,8,6,12,14,2,4,14,7,4,7,6,5,5,6,4,4,5,11,6,6,11,3,15,6,9,5,9,5,9,3,7,4,11,7,6,16,5,7,13,6,9,9,7,6,7,14,5,11,4,11,10,9,6,9,7,9,9,4,12,13,7,4,9,6,12,6,6,5
ACX68639.1,5,11,10,10,5,5,6,8,7,6,10,5,7,5,7,7,2,6,8,14,11,7,10,5,5,13,4,14,6,9,6,5,4,6,3,4,8,2,5,9,8,10,3,11,4,5,6,11,5,10,6,6,7,12,10,11,10,10,10,3,5,12,5,9,9,8,7,7,17,8,8,10,7,5,4,10,6,9,8,8,17,4,10,6,11,6,5,6,5,8,14,6,10,10,6,8,9,9,8,6,11,5,7,8,6,9,2,6,4,4,11,6,5,9,12,6,6,10,3,6,6,6,9,12,9,5
CBI13547.1,6,6,9,7,15,8,8,8,16,7,5,21,12,9,8,4,3,8,5,17,11,7,12,6,4,12,9,18,8,6,9,13,7,6,2,6,6,5,5,6,5,7,5,9,6,2,5,4,10,11,7,6,2,8,16,18,10,10,4,4,5,17,7,8,10,6,6,5,4,8,10,7,8,2,6,4,8,4,8,4,16,4,13,8,11,5,9,7,3,3,11,8,6,6,4,2,9,9,8,8,1,4,8,4,13,12,5,6,2,8,8,14,10,9,19,8,5,10,4,12,19,11,15,7,9,5
CBI13549.1,9,6,11,4,13,12,9,7,16,7,1,17,13,9,14,6,5,9,9,15,11,7,11,7,7,10,11,13,7,12,5,10,6,2,3,1,2,3,1,4,2,0,2,7,7,3,9,7,8,10,3,9,4,8,12,13,9,7,3,6,2,16,6,11,9,6,7,6,3,8,8,5,8,2,4,4,8,6,5,4,12,8,12,9,8,4,7,6,0,4,11,6,6,4,4,3,10,5,13,5,6,4,6,4,16,9,7,5,8,1,11,4,9,8,18,10,5,8,7,6,20,8,14,8,6,2
CBL51478.1,2,1,0,0,0,2,0,2,0,2,1,1,0,1,0,0,3,0,0,3,1,1,3,1,0,1,0,3,0,3,0,1,0,0,0,0,0,0,2,2,3,0,0,1,2,0,0,2,1,2,1,1,0,1,4,2,2,1,1,1,3,3,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,2,1,0,0,0,1,0,2,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,2,2,1,1,1,2,1,2,1,2,3,2,1
CBL51479.1,3,3,0,0,1,2,2,2,0,3,2,1,1,2,1,1,4,0,0,5,1,1,2,1,1,3,0,2,0,5,0,1,0,0,0,0,0,1,2,2,3,0,0,1,4,1,0,3,2,2,1,1,0,1,5,3,4,2,1,2,3,4,1,3,2,0,1,1,2,1,0,2,0,2,0,1,1,0,1,0,2,0,2,0,3,3,1,0,0,0,4,0,2,1,0,1,6,4,0,1,0,1,2,0,1,0,2,3,0,0,3,1,1,3,3,1,1,2,3,1,2,2,4,4,3,1
CBL51480.1,2,3,0,1,1,2,1,2,0,3,2,1,1,2,1,1,4,0,0,5,1,1,3,1,1,3,0,3,0,5,0,0,0,0,0,0,0,1,2,2,3,0,0,1,5,2,0,3,2,3,1,0,0,1,5,3,5,3,1,2,3,3,1,3,3,0,1,1,2,1,0,2,0,2,0,1,2,0,1,0,2,0,2,1,3,3,1,0,0,0,4,0,1,1,0,1,6,4,0,1,0,1,3,0,1,0,2,2,1,0,3,1,2,3,3,1,1,2,3,1,2,2,4,3,2,1
CBL51481.1,2,3,0,1,1,2,1,2,0,3,2,1,1,2,1,1,4,0,0,5,1,1,3,1,1,3,0,3,0,5,0,0,0,0,0,0,0,1,2,2,3,0,0,1,4,1,0,3,2,3,1,0,0,1,5,3,5,3,1,2,3,3,1,3,3,0,1,1,2,1,0,2,0,2,0,1,2,0,1,0,2,0,2,1,3,3,1,0,0,0,4,0,1,1,0,1,6,4,0,1,0,1,2,0,1,0,2,2,1,0,3,1,2,3,3,1,1,2,3,1,2,2,4,3,2,1
ADG41254.1,6,7,8,4,8,13,8,13,8,5,9,14,13,12,8,7,7,7,9,14,5,6,9,7,5,9,4,12,3,4,7,3,4,6,3,4,6,10,8,3,5,9,5,6,6,4,6,7,9,11,5,11,6,9,16,5,4,10,8,4,3,18,9,7,10,8,3,13,4,13,6,8,7,7,7,7,10,6,8,4,14,3,19,3,12,4,3,4,4,5,12,8,5,4,0,8,17,5,5,6,9,13,13,10,9,4,9,7,6,7,7,6,9,8,20,9,11,10,7,8,19,6,6,2,10,5
ADG41535.1,5,9,10,4,20,15,6,11,18,8,8,15,8,23,12,4,8,8,8,15,8,6,10,6,8,11,13,13,4,8,1,0,5,6,6,1,7,6,12,6,3,8,7,11,5,1,6,10,8,8,5,10,2,4,13,10,5,8,8,5,11,12,4,5,11,5,8,12,7,10,4,7,5,7,7,9,9,6,11,5,8,5,12,7,12,4,5,4,5,8,11,10,6,3,4,9,19,9,5,9,11,8,14,7,13,5,4,5,6,9,7,11,6,9,10,10,10,7,8,6,16,12,7,3,11,8
ACY92456.2,4,8,10,6,8,5,3,9,16,8,18,12,6,7,10,8,5,7,8,13,10,8,9,4,6,13,10,12,4,8,0,8,6,7,7,7,9,4,5,11,7,14,5,3,5,9,4,9,7,11,6,9,9,7,12,6,7,4,6,4,2,13,4,4,10,9,11,5,4,9,4,7,4,4,7,6,6,7,13,10,16,9,8,5,4,6,11,4,7,9,8,14,8,5,13,9,15,13,10,13,7,9,7,7,8,2,3,11,6,9,10,10,3,7,5,11,10,10,4,5,13,8,6,3,14,8
CBL91347.1,5,9,10,4,7,11,11,11,6,7,2,13,8,16,6,7,7,6,11,10,5,6,10,7,6,9,6,10,3,12,5,2,5,3,5,4,7,15,6,6,9,14,4,5,5,4,5,7,7,14,3,8,6,10,13,6,5,11,9,7,9,12,5,4,8,9,2,11,4,10,5,8,4,5,8,10,12,6,8,4,15,2,15,3,11,4,4,3,6,6,10,8,6,8,0,6,15,9,5,7,8,10,10,10,7,3,7,5,7,10,5,8,8,8,15,7,7,11,4,7,18,7,7,2,8,8
CBL91660.1,6,11,10,1,12,11,6,13,15,7,8,13,9,12,13,4,8,10,6,13,7,5,9,8,10,11,7,14,5,3,1,1,5,8,7,5,7,4,7,7,2,13,10,10,4,1,5,9,9,10,5,13,4,9,12,9,2,6,9,3,14,12,9,7,6,5,5,9,8,12,3,9,4,7,8,12,14,10,14,8,10,4,7,5,16,4,6,4,2,8,9,8,12,6,5,7,16,8,10,7,7,10,14,6,13,4,11,10,5,7,6,13,7,12,6,8,15,8,3,3,15,11,4,4,14,9
CBJ19544.1,3,11,9,4,7,8,1,7,13,3,1,26,10,3,10,3,5,6,7,11,4,4,4,5,11,9,3,7,3,4,2,3,5,8,5,4,6,1,3,6,5,7,4,5,4,4,5,9,9,19,4,5,4,6,10,3,2,8,41,14,8,17,2,2,5,5,5,4,8,8,4,5,4,23,4,6,10,6,5,6,10,2,11,5,8,5,4,8,5,8,10,34,8,6,4,11,10,25,8,8,11,8,13,11,8,4,6,9,9,6,5,6,4,8,9,8,26,7,3,4,15,7,21,4,8,6
ADQ61508.1,5,6,5,3,4,5,3,2,6,3,3,6,11,3,4,3,4,5,16,6,4,13,5,2,8,10,3,8,5,1,6,2,5,4,4,3,3,2,4,7,2,6,3,0,3,3,12,6,5,13,8,2,4,5,5,4,7,8,12,3,5,19,7,10,16,6,2,4,1,9,5,8,5,8,3,7,8,5,5,6,5,1,9,4,15,8,8,6,7,12,7,10,11,10,11,15,18,10,6,4,8,7,8,13,4,9,11,9,6,5,4,6,8,7,10,3,6,10,2,4,4,3,14,10,11,6
CBZ48212.1,7,6,10,6,15,10,8,9,16,7,5,20,12,9,8,4,3,8,5,17,11,7,12,6,4,12,9,17,8,6,9,12,7,6,3,6,6,5,5,6,5,7,5,9,6,2,5,5,10,11,7,6,3,9,14,17,10,10,4,4,5,17,7,8,10,6,6,5,3,9,10,7,9,2,7,4,8,4,8,4,16,4,12,8,12,5,9,7,3,3,11,8,6,6,3,2,9,9,8,9,2,4,8,4,14,12,5,6,2,8,8,13,9,9,19,8,5,10,4,12,21,10,14,7,9,5
